Year,Factory_Name,Month,Product,Unity,Quantity
2021,Total Plants,Jan,Total Liquid Milk,Lts,36.186.417
2021,Total Plants,Feb,Total Liquid Milk,Lts,35.562.780
2021,Total Plants,Mar,Total Liquid Milk,Lts,39.443.881
2021,Total Plants,Apr,Total Liquid Milk,Lts,37.066.849
2021,Total Plants,May,Total Liquid Milk,Lts,36.425.010
2021,Total Plants,Jun,Total Liquid Milk,Lts,36.632.565
2021,Total Plants,Jul,Total Liquid Milk,Lts,38.597.048
2021,Total Plants,Aug,Total Liquid Milk,Lts,39.737.605
2021,Total Plants,Sep,Total Liquid Milk,Lts,42.492.511
2021,Total Plants,Oct,Total Liquid Milk,Lts,46.254.928
2021,Total Plants,Nov,Total Liquid Milk,Lts,44.627.889
2021,Total Plants,Dec,Total Liquid Milk,Lts,43.693.290
2022,Total Plants,Jan,Total Liquid Milk,Lts,30.551.934
2022,Total Plants,Feb,Total Liquid Milk,Lts,35.288.342
2022,Total Plants,Mar,Total Liquid Milk,Lts,41.518.644
2022,Total Plants,Apr,Total Liquid Milk,Lts,39.806.188
2022,Total Plants,May,Total Liquid Milk,Lts,37.366.506
2022,Total Plants,Jun,Total Liquid Milk,Lts,33.022.599
2022,Total Plants,Jul,Total Liquid Milk,Lts,36.527.527
2022,Total Plants,Aug,Total Liquid Milk,Lts,36.479.741
2022,Total Plants,Sep,Total Liquid Milk,Lts,38.507.619
2022,Total Plants,Oct,Total Liquid Milk,Lts,41.688.891
2022,Total Plants,Nov,Total Liquid Milk,Lts,40.891.076
2022,Total Plants,Dec,Total Liquid Milk,Lts,40.126.374
2023,Total Plants,Jan,Total Liquid Milk,Lts,32.325.873
2023,Total Plants,Feb,Total Liquid Milk,Lts,31.323.576
2023,Total Plants,Mar,Total Liquid Milk,Lts,36.229.829
2023,Total Plants,Apr,Total Liquid Milk,Lts,39.278.732
2023,Total Plants,May,Total Liquid Milk,Lts,38.608.133
2023,Total Plants,Jun,Total Liquid Milk,Lts,34.404.821
2023,Total Plants,Jul,Total Liquid Milk,Lts,40.301.510
2023,Total Plants,Aug,Total Liquid Milk,Lts,39.578.675
2023,Total Plants,Sep,Total Liquid Milk,Lts,44.386.944
2023,Total Plants,Oct,Total Liquid Milk,Lts,47.560.801
2023,Total Plants,Nov,Total Liquid Milk,Lts,48.467.465
2023,Total Plants,Dec,Total Liquid Milk,Lts,44.786.341
2024,Total Plants,Jan,Total Liquid Milk,Lts,39.963.642
2024,Total Plants,Feb,Total Liquid Milk,Lts,37.740.628
2024,Total Plants,Mar,Total Liquid Milk,Lts,42.686.731
