Year,Factory_Name,Product,Unity,Month,Quantity
2024,Total Plants,Cream,Kg,Feb,2.664.979
2024,Total Plants,Butter,Kg,Feb,2.373.820
2024,Total Plants,Condensed milk,Kg,Feb,3.053.955
2024,Total Plants,Sweetened condensed milk,Kg,Feb,2.772.939
2024,Total Plants,Received milk volume,Lts,Mar,165.805.522
2024,Total Plants,Total powdered milk,Kg,Mar,4.913.198
2024,Total Plants,Yogurt,Lts,Mar,20.878.022
2024,Total Plants,Cheese,Kg,Mar,7.417.892
2024,Total Plants,Cream,Kg,Mar,3.067.012
2024,Total Plants,Butter,Kg,Mar,2.380.774
2024,Total Plants,Condensed milk,Kg,Mar,2.413.242
2024,Total Plants,Sweetened condensed milk,Kg,Mar,2.755.774
